source,target,weight
1071753837,1010626427,1
1044442132,1057053173,1
1007172640,1045639877,1
1007172640,1090066179,1
1007172640,1059046860,1
1007172640,1061759881,1
1007172640,1024548034,1
1063635847,1049962082,1
1063635847,1088550784,1
1005890294,1073508752,1
1005890294,1060428001,1
1005890294,1016359538,1
1005890294,1014872421,1
1005890294,1054471125,1
1005890294,1054238235,1
1005890294,1003451586,1
1083119109,1058107871,1
1083119109,1022604478,1
1083119109,1003972963,1
1083119109,1054471125,1
1083119109,1074771837,1
1083119109,1005016962,1
1088712592,1069823047,1
1088712592,1053314032,1
1045639877,1019659585,1
1045639877,1054973977,1
1045639877,1003369962,1
1045639877,1076628076,1
1087450175,1074529510,1
1087450175,1049962082,1
1087450175,1054723108,1
1087450175,1056824844,1
1087450175,1000373575,1
1087450175,1072099258,1
1087450175,1089235956,1
1087450175,1007459129,1
1087450175,1075889304,1
1059839736,1093731789,1
1059839736,1029403491,1
1059839736,1083914769,1
1059839736,1051715398,1
1069823047,1019659585,1
1026240394,1075838672,1
1022604478,1093731789,1
1026118838,1057817191,1
1006398548,1011583897,1
1006398548,1029385317,1
1074529510,1032063503,1
1074529510,1076628076,1
1083694167,1054973977,1
1083694167,1078442583,1
1083694167,1032063503,1
1083694167,1019594538,1
1083694167,1075889304,1
1048513307,1037189942,1
1048513307,1058363604,1
1073919686,1074910837,1
1073919686,1040044735,1
1073919686,1068393016,1
1049962082,1031727745,1
1049962082,1033618354,1
1049962082,1073900928,1
1073508752,1010955914,1
1073508752,1058391264,1
1073508752,1051921689,1
1073508752,1080433461,1
1073508752,1005016962,1
1060428001,1049706392,1
1078326898,1085392303,1
1078326898,1059480627,1
1078326898,1011061835,1
1078326898,1034569772,1
1078326898,1026470516,1
1078326898,1090066179,1
1078326898,1059046860,1
1078326898,1087412591,1
1078326898,1010626427,1
1093731789,1081186287,1
1093731789,1059480627,1
1016359538,1050607585,1
1029403491,1014872421,1
1029403491,1051971605,1
1029403491,1073044045,1
1029403491,1086641441,1
1029403491,1010439801,1
1081186287,1051729820,1
1019659585,1056824844,1
1019659585,1003369962,1
1019659585,1004123432,1
1019659585,1095293823,1
1001691761,1010626427,1
1070498956,1035678040,1
1070498956,1063959866,1
1074910837,1071870955,1
1074910837,1010439801,1
1054973977,1083914769,1
1054973977,1037189942,1
1054973977,1060716653,1
1054723108,1045309606,1
1054723108,1019609496,1
1054723108,1012378934,1
1054723108,1086641441,1
1054723108,1024548034,1
1071870955,1094510316,1
1071870955,1015062812,1
1048185426,1053680146,1
1048185426,1065702104,1
1048185426,1010626427,1
1003972963,1082512231,1
1003972963,1010626427,1
1056824844,1034483550,1
1035595201,1003451586,1
1094510316,1047555918,1
1059480627,1078312351,1
1059480627,1041578243,1
1054471125,1082653249,1
1054471125,1019602738,1
1051971605,1075838672,1
1051971605,1053363347,1
1051971605,1007845520,1
1003369962,1049706392,1
1003369962,1047105368,1
1003369962,1019609496,1
1003369962,1088550784,1
1034569772,1010955914,1
1034569772,1039412246,1
1015062812,1057053173,1
1029385317,1058391264,1
1026470516,1010626427,1
1049706392,1031727745,1
1049706392,1047105368,1
1049706392,1029430034,1
1049706392,1002399330,1
1049706392,1059426360,1
1074771837,1088130850,1
1038596028,1073900928,1
1037189942,1003211089,1
1037189942,1051715398,1
1037189942,1007845520,1
1035678040,1045309606,1
1035678040,1079898450,1
1035678040,1053314032,1
1051729820,1080433461,1
1057053173,1033618354,1
1057053173,1020098314,1
1057053173,1082512231,1
1031727745,1039412246,1
1073044045,1041578243,1
1019609496,1036936480,1
1012378934,1000151650,1
1090066179,1087412591,1
1090066179,1019594538,1
1059046860,1089235956,1
1082653249,1005066283,1
1082653249,1073773347,1
1082653249,1010626427,1
1058391264,1052089370,1
1086641441,1020098314,1
1086641441,1053363347,1
1086641441,1074073560,1
1072398557,1038269410,1
1045545909,1002399330,1
1053314032,1030635339,1
1003451586,1078312351,1
1024548034,1014561778,1
1029430034,1059426360,1
1029430034,1057217762,1
1010439801,1005066283,1
1038269410,1065702104,1
1014333778,1010626427,1
1005016962,1010626427,1
1074073560,1010626427,1
1099182336,1018779000,1
1099182336,1092217633,1
1099182336,1038931796,1
1099182336,1047197153,1
1099182336,1067915919,1
1099182336,1077974289,1
1099182336,1084966719,1
1099182336,1082562788,1
1099182336,1056454944,1
1099182336,1061858786,1
1099182336,1005268222,1
1099182336,1087945920,1
1099182336,1078746920,1
1099182336,1000259458,1
1099182336,1051149575,1
1099182336,1043967829,1
1099182336,1085717645,1
